"Número de guía","Número ONU (UN / ID)","Clase o división","Peligro secundario","Grupo de embalaje","Cantidad de bultos","Tipo de embalaje","Peso neto de la mercancía peligrosa por bulto (Kg)","Unidad de medida","Peso bruto por bulto (Kg)","Instrucción de embalaje","Autorizaciones","Disposiciones especiales aplicables en el envío.","Información adicional de manipulación","Nombre apropiado de expedición"
"4734359","1,044","2.2","N/A","N/A","1","FIBREBOARD BOX","8","Kilogramos","10","213","N/A","N/A","1-800-255-3924","Fire extinguishers "
"4734513","1,263","3","N/A","III","1","FIBREBOARD BOX ","4","Litros","7","355","N/A","N/A","1-800-255-3924","Paint"
"888004740311","3,091","9","NA","III","1","CAJA DE CARTON","25","Kilogramos","2","970","NA","NA","MIS00000580","Lithium metal batteries contained in equipment †"
"111104739162","2,990","9","NA","N/A","1","CAJA DE MADERA","30","Kilogramos","90","955","N/A","N/A","018132480585","Life-saving appliances, self-inflating"
"111104741300","2,795","8","N/A","N/A","25","BIDON PLASTICO","25","Kilogramos","32","870","N/A","N/A","018132480585","Batteries, wet, filled with alkali †"
"111101742827","3,091","9","N/A","N/A","1","CAJA DE CARTON","2","Kilogramos","6","970","A48","N/A","018132480585","Lithium metal batteries contained in equipment †"
"888004754343","1,950","2.1","NA","N/A","1","CAJA DE CARTON","1","Kilogramos","1","Y203","NA","NA","MIS0000580","Aerosols, flammable"
"888004761028","3,363","9","NA","N/A","1","PLASTIC BOX","1","Litros","17","962","NA","NA","NA","DANGEROUS GOODS IN APPARATUS"
"4754374","1,950","2.1","N/A","N/A","1","FIBREBOARD BOX","8","Kilogramos","8","Y203","N/A","N/A","N/A","AEROSOLS,FLAMMABLE"
"4760965","1,044","2.2","N/A","N/A","1","FIBREBOARD BOX","28.4","Kilogramos","30","213","N/A","N/A","N/A","FIRE EXTINGUISHERS"
"111104535514","1","9","N/A","N/A","1","CAJA DE CARTON","1","Litros","1","Y963","N/A","N/A","N/A","ARTICULO DE SONSUMO"
"888004769809","1","2.2","5,1","N/A","1","CAJA ALUMINIO","92","Kilogramos","40","200","N/A","N/A","N/A","OXYGEN, COMPRESSED"
"888004769140","2,922","8","6.1","II","1","CAJA DE CARTON","0.5","Litros","4","851","N/A","N/A","MIS0000580","	Corrosive liquid, toxic, n.o.s. ★"
"888004769140","1,263","3","N/A","III","2","CAJA DE CARTON PRENSADA","4.8","Litros","5","355","N/A","N/A","MIS0000580","Paint"
"888004769140","2,735","8","N/A","III","1","CAJA DE CARTON PRENSADO","0.1","Litros","5","852","N/A","N/A","MIS0000580","	Polyamines, liquid, corrosive, n.o.s. ★"
"111104478749","8,000","9","N/A","N/A","1","CAJA DE CARTON","0.1","Litros","1","Y963","N/A","N/A","N/A","ARTICULO DE CONSUMO"
"111104478625","8,000","9","N/A","N/A","1","CAJA DE CARTON","1","Litros","1","Y963","N/A","N/A","N/A","ARTIULO DE CONSUMO"
"888004776820","3,363","9","N/A","N/A","3","CAJA DE CARTON","2","Litros","2","962","N/A","N/A","MIS0000580","Dangerous goods in apparatus"
"111104770046","1,072","2.2","5,1","N/A","1","ALUMINIUM BOX","95","Kilogramos","37.4","200","N/A","N/A","N/A","Oxygen, compressed"
"888004776950","1,950","2.1","N/A","N/A","1","CAJA DE CARTON","5","Kilogramos","1.5","203","N/A","N/A","MIS0000580","Aerosols, flammable"
"888004781202","3,469","3","8","III","1","CAJA DE CARTON","4","Litros","1","354","N/A","N/A","MIS0000580","Paint, flammable, corrosive"
"888004779105","3,091","9","NA","N/A","1","CAJA DE CARTON","5","Kilogramos","4","970","NA","NA","MIS0000580","Lithium metal batteries contained in equipment"
"888004780576","3,091","9","NA","N/A","1","CAJA DE CATON","35","Kilogramos","2","970","NA","NA","MIS0000580","Lithium metal batteries contained in equipment"
"111104805505","3,091","9","N/A","N/A","1","FIBREBOARD BOX","0.35","Kilogramos","1.2","970","A48","A48","N/A","Lithium metal batteries contained in equipment"
"888004805668","2,735","8","N/A","III","1","CAJA DE CARTON","1","Litros","4","852","N/A","N/A","MIS0000580","	Polyamines, liquid, corrosive, n.o.s. ★"
"888004813468","1,993","3","NA","II","1","CAJA DE CARTON","4","Litros","5","353","NA","NA","MIS0000580","Flammable liquid, n.o.s."
"111104810474","1,950","2.1","N/A","N/A","1","FIBREBOARD BOX","15","Kilogramos","1.5","Y203","N/A","A08","N/A","Aerosols, flammable"
"111104815626","3,072","9","N/A","N/A","1","FIBREBOARD BOX","6","Kilogramos","6.8","955","N/A","A08","N/A","Life-saving appliances, not self-inflating"
"111104813829","1,133","3","N/A","III","1","FIBREBOARD BOX","2","Litros","0.8","Y344","N/A","A08","N/A","Adhesives"
"888004821525","1,263","3","na","III","1","caja de carton","1","Litros","2","355","na","na","mis00000580","paint"
"4828047","8,000","9","NA","N/A","1","CAJA DE CARTON ","500","Litros","2","Y963","NA","A112","NA","CONSUMER CONMODITY "
"111104839765","3,469","3","8","III","1","FIBREBOARD BOX","1","Litros","1.6","Y342","N/A","N/A","1-8002553924","Paint, flammable, corrosive"
"888004835771","1,950","2.1","NA","N/A","1","caja de carton","8","Kilogramos","2","203","NA","NA","Mis0000580","AEROSOLS, FLAMMABLE"
"888004835771","2,922","8","6,1","II","1","caja de carton","1","Litros","2","851","NA","NA","Mis0000580","Corrosive liquid, toxic, n.o.s"
"88800483881","1,993","3","NA","III","1","caja de carton","4","Litros","5","Y344","NA","NA","Mis0000580","Flammable liquid, n.o.s.  "
"888004841542","1,263","3","NA","III","1","caja de carton","16","Litros","20","355","NA","NA","Mis0000580","Paint"
"888004841542","1,950","2.1","NA","N/A","1","caja de carton","1","Kilogramos","1","Y203","NA","NA","Mis0000580","Aerosols, flammable"
"888004849112","3,481","9","N/A","N/A","1","CAJA PLASTICA","2","Kilogramos","12","967","N/A","N/A","MIS0000580","Lithium ion batteries contained in equipment †"
"4852680","8,000","9","NA","N/A","1","CAJA DE CARTON ","500","Kilogramos","17","Y963","NA","A112","NA","CONSUMER CONMODITY "
"888004854446","12","1","N/A","N/A","1","CAJA DE CARTON","66","Kilogramos","8","130","N/A","N/A","N/A","CARTUCHOS PARA ARMAS DE PEQUEÑO CALBRE"
"4860555","1,263","3","N/A","II","1","FIBREBOARD BOX ","38","Litros","5.4","353","N/A","N/A","18002553924","Paint related material"
"4860555","1,263","3","N/A","II","1","FIBREBOARD BOX ","25","Litros","4.6","353","N/A","N/A","18002553924","Paint related material"
"4854501","1,866","3","N/A","III","1","FIBREBOARD BOX ","600","Litros","1.6","355","N/A","N/A","18002553924","Resin solution"
"111104860252","1,263","3","N/A","III","1","CAJA DE CARTON ","25","Litros","3.5","Y344","N/A","N/A","1-800-255-3924","PAINT REATED MATERIEL"
"111104867787","1,950","2.1","N/A","N/A","1","FIBREBOARD BOX","1","Kilogramos","1","Y203","N/A","A08","N/A","	Aerosols, flammable"
"888004876828","1,263","3","na","III","1","caja de carton","62","Litros","8","355","na","na","Miss0000580","Paint related material"
"111104896493 ","8,000","9","N/A","N/A","1","CAJA DE CARTON CORRUGADO ","5","Kilogramos","2","963","N/A","A112","N/A","CONSUMER COMMODITY"
"888004896600","1,263","3","N/A","III","1","CAJA DE CARTON","5","Litros","9","Y344","N/A","N/A","N/A","PAINT"
"888004894059","1,133","3","NA","III","1","CAJA DE CARTON","1","Litros","2","355","NA","NA","MIS00000580","ADHESIVES"
"888004890479","1,263","3","NA","II","1","CAJA DE CARTON","5","Litros","6","353","NA","NA","MIS00000580","PAINT RELATED MATERIAL "
"111104887010","3,091","9","N/A","N/A","1","FIBREBOARD BOX ","25","Kilogramos","1.25","970","A48","N/A","N/A","LITHIUM METAL BATTERIES CONTAINED IN EQUIPMENT"
"111104886221","2,990","9","N/A","N/A","1","WOODEN BOX ","70","Kilogramos","140","955","N/A","N/A","N/A","LIFE-SAVING APPLIANCES, SELF-INFLATING"
"111104886221","2,990","9","N/A","N/A","1","WOODEN BOX","70","Kilogramos","140","955","N/A","N/A","N/A","LIFE-SAVING APPLIANCES, SELF-INFLATING"
"111104892446","3,072","9","N/A","N/A","1","FIBREBOARD BOX","18","Kilogramos","30","955","N/A","N/A","N/A","LIFE-SAVING APPLIANCES,NOT SELF-INFLATING"
"888004905781","3,072","9","NA","N/A","1","FIBREBOARD BOX","18","Kilogramos","20","955","NA","NA","NA","Aparatos de salvamento no autoinflables que contengan mercancías peligrosas como material accesorio"
"888004906262","3,072","9","N/A","N/A","1","FIBREBOARD BOX","21","Kilogramos","21.6","955","A48","N/A","18002553924","LIFE-SAVING APPLIANCES,NOT SELF-INFLATING"
"111104904895","8,000","9","N/A","N/A","1","FIBRE BOARD BOX ","4","Litros","5.3","Y963","N/A","N/A","N/A","CONSUMMER COMODITY"
"88804915275","2,735","8","NA","III","1","CAJA DE CARTON","35","Litros","5","852","NA","NA","MIS00000580","Polyamines, liquid, corrosive"
"111104919533","1,950","2.1","N/A","N/A","1","FIBREBOARD BOX","0.8","Kilogramos","0.8","Y203","N/A","A08","N/A","Aerosols, flammable"
"111104898267","1,263","3","N/A","II","1","FIBREBOARD BOX","1","Litros","1.2","Y341","N/A","A08","N/A","Paint related material"
"111104898073","3,091","9","N/A","N/A","1","FIBREBOARD BOX","0.25","Kilogramos","2","970","A48","A08","N/A","Lithium metal batteries contained in equipment"
"888004930434","1,263","3","NA","II","1","FIBREBOARD BOX","3.8","Kilogramos","5","355","NA","NA","NA","PRODUCTOS PARA PINTURA(Paint related material)"
"888004930434","1,263","3","NA","II","1","FIBREBOARD BOX","25","Kilogramos","5","355","NA","NA","NA","PRODUCTOS PARA PINTURA(Paint related material)"
"888004930434","1,263","3","NA","III","1","FIBREBOAR BOX","75","Kilogramos","10","355","NA","NA","NA","PRODUCTOS PARA PINTURA(Paint related material)"
"111104930657","1,139","3","N/A","III","1","FIBREBOARD BOX ","12","Litros","12.6","355","N/A","N/A","1-800-255-3924","	Coating solution"
"111104930657","1,139","3","N/A","III","1","FIBREBOARD BOX","11","Litros","12.6","355","N/A","N/A","1-800-255-3924","	Coating solution"
"111104930079","3,091","9","N/A","N/A","1","FIBREBOARD BOX ","35","Kilogramos","1.4","970","A48","N/A","1-800-255-3924","Lithium metal batteries packed with equipment"
"111104937118","1,072","2.2","5.1","N/A","1","ALUMINIUM BOX","132","Kilogramos","44","200","N/A","N/A","18002553924","Oxygen, compressed"
"888004939628","1","3","NA","III","1","CAJA DE CARTON","72","Litros","8","355","NA","NA","MIS000580","PAINT"
"111104947993","2,990","9","N/A","N/A","1","WOODEN BOX ","35","Kilogramos","80","955","N/A","N/A","18002553924","Life-saving appliances, self-inflating"
"888004943669","1,133","3","NA","II","1","CAJA DE CARTON","5","Litros","1","Y341","NA","NA","MIS00000580","Adhesives"
"888004955894","1,263","3","NA","III","1","CAJA DE CARTON","5.5","Litros","9","355","NA","NA","MIS0000580","Paint related material"
"4955923","1,133","3","N/A","II","1","FIBREBOARD BOX ","4","Litros","1.2","Y341","N/A","N/A","N/A","ADHESIVES "
"111104961285","8,000","9","N/A","N/A","1","CAJA DE CARTON","5","Kilogramos","25","Y963","N/A","N/A","N/A","CONSUMER COMMODITY"
"4955722","1,072","2.2","5,1","II","1","ALUMINIUM ","132","Kilogramos","44","200","N/A","N/A","N/A","OXYGEMN COMPRESSED "
"111104966125","8,000","9","NA","N/A","1","CAJA DE CARTON","2","Kilogramos","2","Y963","NA","NA","MIS0000580","Consumer commodity"
"888004964909","3,091","9","NA","N/A","1","CAJA DE CARTON","35","N/A","2","970","NA","NA","MIS00000580","Lithium metal batteries contained in equipment †"
"888004966430","1,950","2.1","NA","N/A","1","CAJA DE CARTON","5","Kilogramos","0.5","203","NA","NA","MIS00000580","Aerosols, flammable"
"888004966683","1,133","3","NA","II","1","CAJA DE CARTON","3","Litros","1","Y341","NA","NA","MIS00000580","Adhesives"
"111104971080","1,950","2.1","N/A","N/A","1","FIBREBOARD BOX","26","Kilogramos","2.6","Y203","N/A","AV08","N/A","Aerosols, flammable"
"888004974878","1,133","3","NA","III","1","CAJA DE CARTON","12","Litros","2","Y344","NA","NA","MIS00000580","ADHESIVES"
"1111479731","3,091","9","N/A","N/A","1","FIBREBOARD BOX ","35","Kilogramos","1.6","970","NA","N/A","1-800-255-3924","Lithium metal batteries contained in equipment"
"888004981239","1,268","3","NA","III","1","CAJA DE CARTON","4","Litros","4.5","355","NA","NA","MIS0000580","Petroleum distillates, n.o.s."
"111104985369","8,000","9","N/A","N/A","1","FIBREBARD","2","Litros","3","Y963","N/A","N/A","N/A","CONSUMER COMMODITI "
"888004983355","3,363","9","NA","N/A","1","caja de madera","1","Litros","22","962","na","na","mis00000580","Dangerous goods in apparatus"
"8004986027","3,091","9","N/A","N/A","1","CAJA DE CARTON","0.25","Kilogramos","2","970","N/A","N/A","MIS0000580","	Lithium metal batteries contained in equipment "
"111104967362","8,000","9","N/A","N/A","1","CAJA DE CARTON","0.3","Kilogramos","1.2","Y963","N/A","N/A","N/A","ARTICULO DE CONSUMO"
"888004992008","1,268","3","NA","III","1","CAJA DE CARTON","37","Litros","4","355","NA","NA","MIS000580","Petroleum products, n.o.s."
"111104997281","1,950","2.1","N/A","N/A","1","FIBREBOARD BOX ","8","Kilogramos","0.8","Y203","N/A","N/A","1-8002553924","Aerosols, flammable"
"888004993720","1,263","3","NA","II","1","CAJA DE CARTON","4","Litros","5","353","NA","NA","MIS00000580","PAINT"
"888004993720","3,091","9","NA","N/A","1","CAJA DE CARTON","35","Kilogramos","3","970","NA","NA","MIS0000580","LITHIUM METAL BATTERIES CONTAINED IN EQUIPMENT"
"888004994224","1,133","3","NA","II","1","CAJA DE CARTON","1","Litros","1","353","NA","NA","MIS00000580","ADHESIVES"
"888004998077","1,950","2.1","NA","N/A","1","CAJA DE CARTON","5","Kilogramos","1","Y203","NA","NA","MIS0000580","AEROSOLES FLAMMABLES"
"111105002665 ","8,000","9","N/A","N/A","1","CAJA DE CARTON CORRUGADO","400","Kilogramos","4","Y963","N/A","A112","N/A","CONSUMER COMMODITY"
"111104989479","8,000","9","N/A","N/A","1","CONTENEDOR ","125","Litros","6.5","Y963","N/A","N/A","PERFME ","CONSUMER COMODITY"
"888005010201","12","1.4","N/A","N/A","1","CAJA DE CARTON","8.4","Kilogramos","8.9","130","N/A","N/A","CRE 3L","CARTUCHOS PARA ARMAS DE PEQUEÑO CALIBRE "
"111104989391","8,000","9","NA","N/A","1","CAJA","100","Litros","7","Y963","N/A","N/A","PERFUME","CONSUMER COMODITY"
"5011376","2,990","9","N/A","N/A","1","WOODEN BOX","35","Kilogramos","80","955","N/A","N/A","N/A","LIFE-SAVING APLLIANCES,SELF-INFLATING"
"888005016604","1,760","8","na","II","1","caja de carton","1","Litros","3","851","na","na","mis00000580","Corrosive liquid, n.o.s. ★"
"111105014769","1,072","2.2","5.1","N/A","3","ALUMINIUM BOX","3","Kilogramos","18","200","N/A","N/A","1-800-255-3924","OXYGEN,COMPRESSED"
"111105019853","2,795","8","N/A","N/A","2","FIBREBOARD BOX","26","Kilogramos","29.5","870","N/A","A51,AV08","1-800255-3924","Batteries, wet, filled with alkali"
"5020526","1,072","2.2","5.1","N/A","1","ALUMINIUM BOX","16","Kilogramos","42","200","N/A","N/A","18002553924","Oxygen, compressed"
"111105026907 ","8,000","9","N/A","N/A","1","CAJA DE CARTON CORRUGADO ","5","Kilogramos","1","Y963","N/A","A112","N/A","CONSUMER COMMODITY"
"111005026108","2,795","8","N/A","N/A","2","PLASTIC BOXEX","25","Kilogramos","50","870","N/A","N/A","N/A","BATTERIES,WET,FILIED WITH ALKALI"
"111105029892","3,481","9","N/A","N/A","1","PLASIC BOX","0.5","Kilogramos","9.2","967","N/A","AV08","N/A","Lithium ion batteries contained in equipment"
"111105031530","3,091","9","N/A","N/A","1","FIBREBOARD BOX ","2","Kilogramos","2","970","N/A","AV-08","N/A","Lithium metal batteries contained in equipment"
"111105042062","8,000","9","N/A","N/A","2","CAJA DE CARTON PRENSADO","4.65","Kilogramos","6","Y963","N/A","N/A","CRE 9L","ARTICULOS DE CONSUMO"
"111105042416","3,091","9","N/A","N/A","1","FIBREBOARD BO ","25","Kilogramos","1.6","970","970","N/A","1-800-255-3924","Lithium metal batteries contained in equipment"
"111105042610","2,795","8","N/A","N/A","1","PLASTIC BOX ","25","Kilogramos","32","870","N/A","N/A","1-800-255-3924","Batteries, wet, filled with alkali"
"888005053410","1,133","3","N/A","III","1","CAJA DE CARTON PRENSADO","2","Litros","1","Y344","N/A","N/A","MIS0000580","Adhesives"
"8885046326","3,091","9","N/A","N/A","1","CAJA DE CARTON","2","Kilogramos","7","970","N/A","N/A","MIS0000580","Lithium metal batteries contained in equipment †"
"888005052905","1,950","2.1","N/A","N/A","1","CAJA DE CARTON ","3","Kilogramos","2","Y203","N/A","N/A","MIS0000580","Aerosols, flammable"
"111105058892","2,929","6.1","3","II","1","ALL PACKED IN ONE FIBREBOARD BOX ","1","Litros","0.8","Y641","N/A","N/A","1-800-255-3924","Toxic liquid, flammable organic, n.o.s"
"111105058892","1,133","3","N/A","III","1","ALL PACKED IN ONE FIBREBOARD BOX ","1","Litros","0.8","Y344","N/A","N/A","1-800-255-3924","Adhesives"
"111105056251","1,263","3","N/A","III","1","FIBREBOARD BOX ","1","Litros","1.4","Y344","N/A","N/A","1-800-255-3924","PAINT"
"111105047984","8,000","9","N/A","N/A","1","CONTENEDOR ","150","Litros","5","Y963","N/A","N/A","PERFUME ","CONSUMER COMODITY"
"111105076074","8,000","9","N/A","N/A","1","CAJA  CARTON ","0.15","Litros","1.5","963","N/A","N/A","N/A","CONSUMER COMMODITY"
"5070296","3,091","9","N/A","N/A","1","FIBREBOARD BOX ","25","Kilogramos","5","970","A48","N/A","N/A","LITHIUM METAL BATTERIES CONTAINED IN EQUIPMENT "
"5063441","3,072","9","N/A","N/A","1","FIBREBPOARD BOX ","30","Kilogramos","36","955","N/A","N/A","N/A","LIFE -SAVING APPLIANCERS ,NOT SELF - INFLATING"
"5070428","2,795","8","N/A","N/A","1","FIBREBOARD BOX ","25","Kilogramos","32","870","N/A","N/A","N/A","BATTERIES ,WET FILED WITH ALKAI"
"888005074258","3,091","9","NA","N/A","1","CAJA DE CARTON","35","Kilogramos","1","970","NA","NA","MIS00000580","Lithium metal batteries contained in equipment †"
"5070386","1,072","2.2","5,1","III","1","ALUMINIUM BOX ","3","Kilogramos","16","200","N/A","N/A","N/A","OXYGEN ,COMPRESSED "
"5075173","3,072","9","N/A","N/A","3","FIBREBOPARD BOX ","20","Kilogramos","67.8","955","N/A","N/A","N/A","LIFE-SAVING APPLIANCES ,NOT SELF- INFLATING"
"111105083719","2,795","8","N/A","N/A","1","N/A","27","Kilogramos","34","870","N/A","N/A","N/A","BATTERIES,WET,FILLED WITH ALKALI"
"888005093850","1,950","2.1","N/A","N/A","1","CAJADE CATON ","8","Kilogramos","0.8","Y203","N/A","N/A","+018132480585","Aerosols, flammable"
"111105103446 ","8,000","9","N/A","N/A","1","CAJA CARTON","150","Litros","1","963","N/A","N/A","N/A","CONSUMER COMMODITY"
"888005104037","2,795","8","N/S","N/A","1","CAJA PLASTICA","252","Kilogramos","33","870","N/A","N/A","N/A","Batteries, wet, filled with alkali †"
"111105107323 ","8,000","9","N/A","N/A","1","CAJA CARTON","150","Litros","1.5","963","N/A","N/A","N/A","CONSUMER COMMODITY"
"11110104030","3,091","9","N/A","N/A","1","FIBREBOARD BOX ","25","Kilogramos","6.4","970","A48","N/A","1-800-255-3924","Lithium metal batteries contained in equipmen"
"111105103706","2,795","8","N/A","N/A","1","CAJA PLASTICA","25","Kilogramos","32","870","N/A","N/A","18002553924","Batteries, wet, filled with alkali "
